<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPT,D,20070803,000000,11210.0000,11360.0000,11210.0000,11210.0000,591930,0
FPT,D,20070806,000000,11210.0000,11360.0000,11210.0000,11260.0000,290560,0
FPT,D,20070807,000000,11520.0000,11780.0000,11520.0000,11780.0000,249130,0
FPT,D,20070808,000000,11880.0000,12350.0000,11880.0000,12350.0000,542430,0
FPT,D,20070809,000000,12710.0000,12910.0000,12660.0000,12910.0000,537810,0
FPT,D,20070810,000000,12660.0000,12660.0000,12350.0000,12400.0000,507630,0
FPT,D,20070813,000000,11980.0000,12140.0000,11880.0000,11930.0000,361290,0
FPT,D,20070814,000000,11930.0000,12140.0000,11930.0000,12140.0000,246630,0
FPT,D,20070815,000000,11880.0000,11980.0000,11830.0000,11880.0000,192850,0
FPT,D,20070816,000000,11670.0000,11780.0000,11520.0000,11520.0000,346180,0
FPT,D,20070817,000000,11360.0000,11470.0000,11260.0000,11360.0000,484890,0
FPT,D,20070820,000000,11360.0000,11620.0000,11360.0000,11620.0000,200790,0
FPT,D,20070821,000000,11730.0000,11880.0000,11730.0000,11730.0000,216400,0
FPT,D,20070822,000000,11880.0000,11930.0000,11730.0000,11830.0000,309370,0
FPT,D,20070823,000000,11830.0000,11830.0000,11620.0000,11620.0000,225450,0
FPT,D,20070824,000000,11730.0000,11880.0000,11620.0000,11880.0000,334530,0
FPT,D,20070827,000000,11880.0000,11880.0000,11570.0000,11670.0000,220710,0
FPT,D,20070828,000000,11670.0000,11670.0000,11570.0000,11670.0000,164380,0
FPT,D,20070829,000000,11620.0000,11670.0000,11570.0000,11670.0000,124920,0
FPT,D,20070830,000000,11620.0000,11670.0000,11570.0000,11620.0000,261390,0
FPT,D,20070831,000000,11620.0000,11730.0000,11570.0000,11620.0000,229880,0
FPT,D,20070904,000000,11620.0000,11830.0000,11620.0000,11830.0000,176260,0
FPT,D,20070905,000000,11670.0000,11830.0000,11620.0000,11620.0000,397330,0
FPT,D,20070906,000000,11620.0000,11730.0000,11620.0000,11620.0000,128330,0
FPT,D,20070907,000000,11620.0000,11730.0000,11570.0000,11620.0000,144790,0
FPT,D,20070910,000000,11570.0000,11620.0000,11470.0000,11520.0000,147010,0
FPT,D,20070911,000000,11520.0000,11570.0000,11520.0000,11520.0000,149540,0
FPT,D,20070912,000000,11520.0000,11520.0000,11420.0000,11520.0000,165190,0
FPT,D,20070913,000000,11520.0000,11520.0000,11420.0000,11520.0000,187850,0
FPT,D,20070914,000000,11520.0000,11620.0000,11470.0000,11620.0000,216470,0
FPT,D,20070917,000000,11520.0000,11620.0000,11470.0000,11570.0000,202530,0
FPT,D,20070918,000000,11470.0000,11520.0000,11470.0000,11470.0000,141940,0
FPT,D,20070919,000000,11470.0000,11520.0000,11470.0000,11520.0000,181030,0
FPT,D,20070920,000000,11520.0000,11670.0000,11520.0000,11620.0000,199410,0
FPT,D,20070921,000000,11730.0000,11780.0000,11670.0000,11780.0000,285620,0
FPT,D,20070924,000000,12040.0000,12350.0000,11980.0000,12350.0000,309830,0
FPT,D,20070925,000000,12910.0000,12910.0000,12660.0000,12910.0000,514880,0
FPT,D,20070926,000000,13430.0000,13430.0000,12660.0000,12910.0000,507520,0
FPT,D,20070927,000000,12910.0000,13430.0000,12860.0000,13430.0000,471650,0
FPT,D,20070928,000000,13840.0000,14100.0000,13690.0000,14100.0000,537020,0
FPT,D,20071001,000000,14770.0000,14770.0000,14620.0000,14770.0000,488930,0
FPT,D,20071002,000000,15500.0000,15500.0000,14980.0000,15290.0000,882920,0
FPT,D,20071003,000000,15550.0000,15550.0000,15290.0000,15550.0000,713370,0
FPT,D,20071004,000000,15240.0000,15390.0000,15240.0000,15240.0000,401260,0
FPT,D,20071005,000000,14770.0000,14930.0000,14520.0000,14520.0000,420620,0
FPT,D,20071008,000000,14570.0000,14620.0000,14260.0000,14260.0000,358530,0
FPT,D,20071009,000000,14570.0000,14930.0000,14310.0000,14930.0000,273910,0
